"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9663","Validate menu buttons","webkit","Mon Jun 23 13:13:28 IST 2025","failed","Mon Jun 23 13:13:38 IST 2025","","steps/ndrTestDashboardHome.spec.js","",""
"","6439","Validate menu buttons","edge","Mon Jun 23 13:16:51 IST 2025","failed","Mon Jun 23 13:16:58 IST 2025","","steps/ndrTestDashboardHome.spec.js","",""
"","10619","Validate the Test Live Traffic","edge","Mon Jun 23 13:17:31 IST 2025","passed","Mon Jun 23 13:17:41 IST 2025","","steps/ndrTestLiveTraffic.spec.js","",""
"","5221","Validate live realtime globe menu buttons","firefox","Mon Jun 23 13:11:34 IST 2025","passed","Mon Jun 23 13:11:40 IST 2025","","steps/ndrTestLiveRealtimeGlobe.spec.js","",""
"","4654","validate the test reports traffic summary","chromium","Mon Jun 23 13:10:45 IST 2025","passed","Mon Jun 23 13:10:50 IST 2025","","steps/ndrTestReportsTrafficSummary.spec.js","",""
"","13858","Validate test administration accounts menu buttons","webkit","Mon Jun 23 13:13:00 IST 2025","passed","Mon Jun 23 13:13:14 IST 2025","","steps/ndrTestAdministrationAccounts.spec.js","",""
"","3690","Validate test administration accounts menu buttons","firefox","Mon Jun 23 13:11:06 IST 2025","passed","Mon Jun 23 13:11:09 IST 2025","","steps/ndrTestAdministrationManagement.spec.js","",""
"","1916","validate the dashboard Security menu","edge","Mon Jun 23 13:17:08 IST 2025","passed","Mon Jun 23 13:17:10 IST 2025","","steps/ndrTestDashboardSecurity.spec.js","",""
"","15172","Validate live realtime globe menu buttons","webkit","Mon Jun 23 13:14:32 IST 2025","passed","Mon Jun 23 13:14:48 IST 2025","","steps/ndrTestLiveRealtimeGlobe.spec.js","",""
"","9272","Validate live Threat Map page","firefox","Mon Jun 23 13:11:40 IST 2025","passed","Mon Jun 23 13:11:49 IST 2025","","steps/ndrTestLiveThreatMap.spec.js","",""
"","2010","validate the dashboard Security menu","chromium","Mon Jun 23 13:09:54 IST 2025","passed","Mon Jun 23 13:09:56 IST 2025","","steps/ndrTestDashboardSecurity.spec.js","",""
"","9335","validate the dashboard Security menu","webkit","Mon Jun 23 13:14:23 IST 2025","passed","Mon Jun 23 13:14:32 IST 2025","","steps/ndrTestDashboardSecurity.spec.js","",""
"","7223","Validate the ndr test reports analysis summary","edge","Mon Jun 23 13:17:57 IST 2025","passed","Mon Jun 23 13:18:04 IST 2025","","steps/ndrTestReportsAnalysisSummary.spec.js","",""
